Typ;Titel;Beschreibungdadadadsdawdasd;
Warmup; Jumping Jack; Der gute, alte Hampelmann/innen;
Warmup; Standing Knee to Elbow;;
Warmup; Babypose to full size;Zusammenkauern, Aufstehen und stretchen, repeat;
Warmup; Yippie Yai Yeihs;;
Legs; Squat-Ausfallschritt-Kombi; Squat - Ausfallschritt rechts - Squat - Ausfallschritt links - repeat...;
Legs; Wandsitzen mit Bizepscurls;;
Legs; Autorennen; Statische Sumo-Kniebeuge, Gewicht wie ein Lenkrad vor die Brust halten, abwechselnd nach links oder rechts lenken;
Legs; Squats raised arms; Arme gerade über den Schultern nach oben strecken, Daumen zeigen nach hinten, Kniebeugen;
Legs; Abduktoren Squats; Kniebeuge, rechtes Bein nach rechts außen anheben, Kniebeuge, linkes Bein nach links außen anheben, repeat;
Legs; Squat & aufrechtes Rudern Kombi;;
Core; Russian Twist;Auf der Matte sitzen, Beine anheben, Oberkörper nach hinten lehnen, Gewicht abwechselnd rechts und links neben den Körper führen;
Core; Low Plank one Leg raised;;
Core; Sit-Up weight over head;;
Core; Sideplank knee to elbow;;
Core; Klappmesser; Auf der Matte auf dem Rücken liegen, gestreckte Beine heben und Arme und Füße über der Hüfte zusammenführen, wieder strecken, repeat;
Core; Klemmendes Klappmesser; Gestreckter Körper, Arme, Schultern und Beine ca. 20cm anheben, statisch halten;
Push; Push-Up with Shoulder-Taps; Liegestützt - rechte Hand an linke Schulter - Liegestütz - linke Hand an rechte Schulter - repeat...;
Push; Dips; Trizeps Übung Klassiker;
Push; Pike to straigth Push Up;Pike Push up und normaler Pushup im Wechsel;
Push; Side to side shift; In breiter Liegestützposition kurz über dem Boden abwechselnd Schwerpunkt über linke und rechte Hand shiften;
Pull; Vorgebeugtes Rudern; mit Gewicht;
Pull; Kreuzheben to military press;;
Pull; Schwimmen; Auf dem Bauch liegend Arme und Beine anheben und Brustschwimmbewgegungen mit den Armen machen;
Pull; Sitzendes Kreuzheben; Aufrecht sitzen, Beine gestreckt, Gummiband über Füße spannen, rudern, dabei Schulterblätter zusammenführen;
Cardio; Burpees;Liegestütz - Strecksprung - repeat;
Cardio; Mountain Climbers;;
Cardio; Plank Jack Knee to Elbow;;
Cardio; Speedy Bizeps;So schnell wie möglich im Stehen Bizepscurls mit Gummiband;
Cardio; Happy feet;So schnell wie möglich von Bein zu Bein trippeln;
Cardio; High knees;Stehend so schnell wie möglich abwechselnd die Knie auf Hüfthöhe heben;
